# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       7.46
1                       7.48
2                       7.46
4                       7.47
8                       7.77
16                      7.76
32                      7.78
64                      7.90
128                     7.90
256                     7.91
512                     7.95
1024                    8.04
2048                    8.33
4096                    8.75
8192                    9.59
16384                  10.16
32768                  11.41
65536                  14.06
131072                 34.10
262144                 44.07
524288                 81.04
1048576                78.01
2097152               156.11
4194304               236.80
