# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       7.45
1                       7.48
2                       7.47
4                       7.48
8                       7.77
16                      7.78
32                      7.77
64                      7.90
128                     7.89
256                     7.92
512                     7.97
1024                    8.06
2048                    8.33
4096                    8.74
8192                    9.57
16384                  10.20
32768                  11.34
65536                  14.10
131072                 34.06
262144                 44.10
524288                 80.79
1048576                77.77
2097152               156.21
4194304               238.92
