# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.72
2                       3.59
4                       7.30
8                      14.66
16                     29.40
32                     58.61
64                    107.25
128                   214.22
256                   421.12
512                   826.54
1024                 1527.69
2048                 2579.26
4096                 4337.29
8192                 7174.41
16384                8528.48
32768                9964.40
65536               10770.34
131072              13476.59
262144              13753.35
524288              13849.48
1048576             23711.85
2097152             23970.34
4194304             24207.05
