
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     127.88
8                     143.55
16                    132.93
32                    128.72
64                    152.10
128                   136.37
256                   179.88
512                   144.64
1024                  155.16
2048                  132.03
4096                  186.52
8192                  268.79
16384                 292.44
32768                 254.54
65536                 258.08
131072                416.91
262144                491.86
524288                728.82
1048576              1102.84
