# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.71
2                       3.49
4                       7.33
8                      14.69
16                     29.50
32                     58.81
64                    107.75
128                   213.96
256                   423.35
512                   825.02
1024                 1518.16
2048                 2569.08
4096                 4343.79
8192                 7089.51
16384                8460.65
32768               10034.95
65536               11175.32
131072              13437.45
262144              13679.10
524288              13830.75
1048576             23697.19
2097152             23994.06
4194304             24207.23
