
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      99.44
8                      98.85
16                    116.12
32                     92.48
64                     91.89
128                   104.43
256                    97.75
512                   129.92
1024                  110.95
2048                  125.86
4096                  172.87
8192                  174.94
16384                 175.38
32768                 178.27
65536                 211.77
131072                318.01
262144                446.67
524288                803.00
1048576              1003.38
