
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      94.26
8                      94.23
16                     87.30
32                     87.84
64                     85.63
128                    86.23
256                    88.84
512                    91.85
1024                   92.86
2048                   99.53
4096                  110.39
8192                  135.82
16384                 156.45
32768                 227.64
65536                 290.08
131072                623.69
262144                325.73
524288                545.89
1048576               840.14
