# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.71
2                       3.62
4                       7.38
8                      14.85
16                     29.83
32                     59.17
64                    108.59
128                   216.52
256                   428.59
512                   838.13
1024                 1540.33
2048                 2608.90
4096                 4323.17
8192                 7243.71
16384                8639.41
32768               10310.45
65536               10930.42
131072              13618.29
262144              13812.67
524288              13968.01
1048576             23691.81
2097152             23997.23
4194304             24215.75
