# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       7.47
1                       7.50
2                       7.48
4                       7.48
8                       7.79
16                      7.79
32                      7.79
64                      7.91
128                     7.93
256                     7.94
512                     7.97
1024                    8.06
2048                    8.33
4096                    8.77
8192                    9.59
16384                  10.16
32768                  11.41
65536                  13.99
131072                 34.17
262144                 44.27
524288                 81.05
1048576                77.92
2097152               156.56
4194304               238.28
