# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.70
2                       3.57
4                       7.34
8                      14.63
16                     29.07
32                     59.18
64                    107.35
128                   213.50
256                   424.09
512                   826.20
1024                 1526.04
2048                 2572.51
4096                 4350.64
8192                 7164.19
16384                8740.19
32768               10014.45
65536               11272.23
131072              13441.50
262144              13675.10
524288              13775.13
1048576             23650.02
2097152             23971.81
4194304             24198.39
