
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      90.18
8                      91.49
16                     93.25
32                     97.44
64                     89.14
128                    88.13
256                   103.06
512                    89.97
1024                   95.14
2048                  120.57
4096                  111.06
8192                  151.36
16384                 168.07
32768                 214.21
65536                 261.88
131072                649.81
262144                342.79
524288                547.83
1048576               831.55
