# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       7.48
1                       7.50
2                       7.48
4                       7.48
8                       7.79
16                      7.79
32                      7.80
64                      7.89
128                     7.92
256                     7.93
512                     7.98
1024                    8.06
2048                    8.34
4096                    8.77
8192                    9.57
16384                  10.22
32768                  11.42
65536                  14.13
131072                 34.06
262144                 44.25
524288                 80.93
1048576                78.15
2097152               156.33
4194304               238.72
