
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      93.14
8                     100.89
16                     97.14
32                     87.76
64                    100.26
128                    91.38
256                    90.16
512                    92.01
1024                   96.36
2048                   97.80
4096                  114.47
8192                  142.51
16384                 164.49
32768                 222.45
65536                 262.38
131072                623.47
262144                317.28
524288                497.06
1048576               857.69
