# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       7.47
1                       7.50
2                       7.49
4                       7.50
8                       7.80
16                      7.81
32                      7.81
64                      7.93
128                     7.94
256                     7.96
512                     7.99
1024                    8.09
2048                    8.36
4096                    8.79
8192                    9.59
16384                  10.18
32768                  11.46
65536                  14.00
131072                 34.05
262144                 44.24
524288                 81.00
1048576                77.89
2097152               156.85
4194304               240.27
