
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     127.52
8                     128.80
16                    136.30
32                    146.21
64                    121.63
128                   126.08
256                   124.06
512                   159.41
1024                  139.62
2048                  141.61
4096                  224.69
8192                  269.17
16384                 254.88
32768                 268.84
65536                 257.40
131072                352.08
262144                640.73
524288                635.44
1048576              1171.68
