
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     139.44
8                     129.12
16                    163.42
32                    134.53
64                    143.34
128                   154.69
256                   134.89
512                   137.62
1024                  149.71
2048                  133.51
4096                  182.42
8192                  241.83
16384                 238.00
32768                 302.34
65536                 526.49
131072                407.44
262144                530.63
524288                690.40
1048576              1042.13
