# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       7.49
1                       7.50
2                       7.50
4                       7.50
8                       7.80
16                      7.81
32                      7.80
64                      7.91
128                     7.94
256                     7.94
512                     7.99
1024                    8.09
2048                    8.35
4096                    8.78
8192                    9.59
16384                  10.15
32768                  11.47
65536                  14.12
131072                 34.08
262144                 44.21
524288                 81.08
1048576                77.85
2097152               156.52
4194304               240.03
