# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       7.48
1                       7.49
2                       7.48
4                       7.49
8                       7.78
16                      7.77
32                      7.78
64                      7.87
128                     7.90
256                     7.91
512                     7.94
1024                    8.04
2048                    8.33
4096                    8.79
8192                    9.61
16384                  10.20
32768                  11.47
65536                  14.11
131072                 34.06
262144                 44.40
524288                 81.25
1048576                77.82
2097152               156.59
4194304               238.85
