
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      86.34
8                     101.95
16                     95.81
32                     92.25
64                     92.46
128                    91.99
256                    89.93
512                   104.07
1024                   98.93
2048                   97.81
4096                  109.31
8192                  146.43
16384                 161.07
32768                 210.44
65536                 260.71
131072                617.09
262144                322.48
524288                542.12
1048576               941.01
