# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       7.47
1                       7.50
2                       7.47
4                       7.48
8                       7.76
16                      7.77
32                      7.79
64                      7.90
128                     7.91
256                     7.93
512                     7.98
1024                    8.07
2048                    8.33
4096                    8.75
8192                    9.58
16384                  10.21
32768                  11.48
65536                  14.09
131072                 34.03
262144                 44.23
524288                 80.97
1048576                78.08
2097152               156.44
4194304               239.31
