# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       7.47
1                       7.49
2                       7.47
4                       7.48
8                       7.78
16                      7.79
32                      7.78
64                      7.91
128                     7.91
256                     7.94
512                     7.97
1024                    8.07
2048                    8.33
4096                    8.77
8192                    9.56
16384                  10.19
32768                  11.41
65536                  14.11
131072                 34.01
262144                 44.12
524288                 80.97
1048576                77.88
2097152               156.68
4194304               241.68
