
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      90.33
8                     101.49
16                     86.56
32                     90.56
64                     96.71
128                    88.39
256                    96.06
512                    95.93
1024                  100.20
2048                  104.34
4096                  113.94
8192                  135.75
16384                 156.94
32768                 217.40
65536                 273.77
131072                624.30
262144                312.97
524288                531.31
1048576               828.76
