# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.69
2                       3.57
4                       7.29
8                      14.60
16                     29.06
32                     58.05
64                    108.28
128                   217.09
256                   427.40
512                   834.25
1024                 1539.53
2048                 2595.68
4096                 4429.54
8192                 7150.92
16384                8523.28
32768               10212.85
65536               10890.46
131072              13576.61
262144              13820.82
524288              13937.79
1048576             23703.13
2097152             23984.71
4194304             24218.42
