# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.72
2                       3.60
4                       7.30
8                      14.71
16                     29.37
32                     59.00
64                    108.07
128                   214.60
256                   426.59
512                   829.03
1024                 1534.94
2048                 2574.13
4096                 4349.41
8192                 7117.84
16384                8347.47
32768                9986.29
65536               11512.28
131072              13412.22
262144              13650.19
524288              13792.41
1048576             23681.85
2097152             23958.66
4194304             24206.23
