
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     129.86
8                     141.95
16                    143.97
32                    150.24
64                    122.61
128                   115.88
256                   141.43
512                   145.85
1024                  151.51
2048                  143.61
4096                  198.04
8192                  233.33
16384                 270.98
32768                 362.08
65536                 346.65
131072                392.38
262144                782.06
524288                891.75
1048576              1224.05
