# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       7.46
1                       7.48
2                       7.47
4                       7.48
8                       7.77
16                      7.77
32                      7.78
64                      7.89
128                     7.90
256                     7.91
512                     7.95
1024                    8.06
2048                    8.33
4096                    8.76
8192                    9.58
16384                  10.19
32768                  11.40
65536                  14.01
131072                 33.92
262144                 44.11
524288                 80.96
1048576                77.87
2097152               156.25
4194304               240.92
