# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.71
2                       3.61
4                       7.37
8                      14.68
16                     29.40
32                     59.13
64                    107.39
128                   213.77
256                   422.80
512                   824.68
1024                 1523.70
2048                 2576.90
4096                 4347.21
8192                 7107.61
16384                8503.23
32768                9959.75
65536               11512.90
131072              13458.45
262144              13670.22
524288              13788.96
1048576             23707.90
2097152             23962.80
4194304             24213.29
