
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      97.55
8                     104.54
16                     95.75
32                    101.93
64                     99.87
128                   101.81
256                    98.68
512                   117.52
1024                  104.96
2048                  112.79
4096                  189.97
8192                  191.98
16384                 184.33
32768                 196.37
65536                 184.56
131072                262.65
262144                417.59
524288                663.22
1048576              1078.28
