# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       7.47
1                       7.49
2                       7.48
4                       7.48
8                       7.78
16                      7.78
32                      7.79
64                      7.87
128                     7.88
256                     7.91
512                     7.93
1024                    8.03
2048                    8.31
4096                    8.82
8192                    9.61
16384                  10.18
32768                  11.42
65536                  14.14
131072                 34.27
262144                 44.43
524288                 81.01
1048576                77.99
2097152               156.27
4194304               239.62
