# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.73
2                       3.63
4                       7.39
8                      14.84
16                     29.56
32                     59.54
64                    108.49
128                   216.61
256                   429.88
512                   838.26
1024                 1536.07
2048                 2601.09
4096                 4435.30
8192                 7156.05
16384                8465.83
32768               10118.39
65536               10942.91
131072              13632.72
262144              13835.20
524288              13962.90
1048576             23694.99
2097152             23987.91
4194304             24219.22
