
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      33.97
8                      33.67
16                     37.41
32                     33.49
64                     33.88
128                    33.47
256                    34.29
512                    40.01
1024                   47.40
2048                   38.20
4096                   67.21
8192                   88.33
16384                 116.70
32768                 153.07
65536                 234.76
131072                463.87
262144                304.62
524288                523.85
1048576               828.12
