# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.69
2                       3.56
4                       7.34
8                      14.62
16                     29.31
32                     58.65
64                    107.50
128                   214.08
256                   421.69
512                   829.20
1024                 1526.11
2048                 2569.82
4096                 4333.60
8192                 7077.32
16384                8485.44
32768                9904.33
65536               11131.67
131072              13467.87
262144              13691.05
524288              13852.64
1048576             23739.54
2097152             23988.04
4194304             24212.85
