
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      99.15
8                     115.90
16                     95.91
32                     94.95
64                    108.11
128                   103.63
256                   101.30
512                   106.63
1024                  139.65
2048                  108.74
4096                  264.63
8192                  202.73
16384                 163.89
32768                 175.55
65536                 229.02
131072                277.32
262144                414.71
524288                678.72
1048576               952.28
