# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       7.47
1                       7.50
2                       7.47
4                       7.48
8                       7.79
16                      7.79
32                      7.80
64                      7.91
128                     7.93
256                     7.93
512                     7.98
1024                    8.07
2048                    8.34
4096                    8.73
8192                    9.56
16384                  10.16
32768                  11.49
65536                  13.95
131072                 34.01
262144                 44.20
524288                 81.14
1048576                77.83
2097152               156.72
4194304               236.46
