# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.71
2                       3.60
4                       7.36
8                      14.78
16                     29.46
32                     59.24
64                    107.46
128                   212.44
256                   422.95
512                   824.55
1024                 1520.19
2048                 2578.51
4096                 4282.91
8192                 7151.41
16384                8539.73
32768                9931.39
65536               11548.94
131072              13457.59
262144              13639.54
524288              13769.35
1048576             23677.94
2097152             23998.29
4194304             24205.01
