
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      34.13
8                      33.38
16                     33.44
32                     33.37
64                     33.60
128                    34.48
256                    40.42
512                    36.57
1024                   37.13
2048                   39.04
4096                   63.90
8192                   91.07
16384                 114.58
32768                 155.72
65536                 232.55
131072                454.53
262144                272.33
524288                423.86
1048576               732.81
