# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       7.48
1                       7.50
2                       7.49
4                       7.49
8                       7.78
16                      7.79
32                      7.79
64                      7.90
128                     7.91
256                     7.94
512                     7.98
1024                    8.06
2048                    8.32
4096                    8.72
8192                    9.57
16384                  10.16
32768                  11.37
65536                  13.86
131072                 33.91
262144                 44.08
524288                 80.96
1048576                77.83
2097152               156.57
4194304               239.71
