# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.73
2                       3.56
4                       7.33
8                      14.59
16                     29.41
32                     59.04
64                    107.36
128                   212.67
256                   422.48
512                   829.19
1024                 1520.36
2048                 2574.45
4096                 4301.36
8192                 7313.46
16384                8531.12
32768               10043.43
65536               11406.59
131072              13455.09
262144              13724.98
524288              13821.98
1048576             23728.39
2097152             23971.46
4194304             24212.89
