
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     102.86
8                     107.19
16                    104.67
32                    117.43
64                    107.29
128                   115.30
256                    99.89
512                   106.83
1024                  105.22
2048                  111.46
4096                  166.68
8192                  156.39
16384                 181.64
32768                 194.92
65536                 187.56
131072                242.39
262144                355.98
524288                572.15
1048576               927.39
