
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      33.42
8                      32.70
16                     32.84
32                     33.43
64                     32.78
128                    34.48
256                    35.64
512                    46.13
1024                   36.56
2048                   38.15
4096                   63.18
8192                   89.30
16384                 114.15
32768                 158.36
65536                 234.25
131072                467.70
262144                275.38
524288                419.85
1048576               741.11
