
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      34.21
8                      33.76
16                     33.68
32                     33.45
64                     33.73
128                    34.13
256                    34.98
512                    36.56
1024                   36.60
2048                   41.79
4096                   63.38
8192                   89.84
16384                 110.66
32768                 153.74
65536                 272.15
131072                453.77
262144                288.65
524288                436.25
1048576               734.43
