
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      88.74
8                      89.17
16                     90.91
32                     91.94
64                    114.70
128                    87.78
256                    89.30
512                    97.30
1024                   98.42
2048                  111.11
4096                  106.17
8192                  142.47
16384                 158.72
32768                 229.08
65536                 257.23
131072                630.64
262144                305.59
524288                569.52
1048576               813.41
