
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     169.86
8                     176.54
16                    184.54
32                    157.40
64                    176.33
128                   140.67
256                   123.13
512                   153.72
1024                  131.90
2048                  139.51
4096                  189.42
8192                  239.07
16384                 241.08
32768                 279.15
65536                 481.84
131072                484.46
262144                706.23
524288                672.85
1048576              1330.45
