
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      33.73
8                      34.42
16                     33.52
32                     35.11
64                     40.11
128                    35.77
256                    34.84
512                    35.71
1024                   43.04
2048                   43.35
4096                   64.07
8192                   94.24
16384                 115.85
32768                 160.76
65536                 237.22
131072                454.28
262144                293.17
524288                502.81
1048576               800.89
