# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.72
2                       3.61
4                       7.37
8                      14.73
16                     29.42
32                     58.89
64                    107.25
128                   213.82
256                   424.98
512                   831.59
1024                 1522.95
2048                 2576.19
4096                 4397.73
8192                 7176.21
16384                8547.82
32768                9945.05
65536               11205.15
131072              13494.98
262144              13668.75
524288              13781.74
1048576             23679.45
2097152             23954.38
4194304             24188.83
