# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       7.46
1                       7.49
2                       7.49
4                       7.50
8                       7.79
16                      7.80
32                      7.79
64                      7.91
128                     7.92
256                     7.94
512                     7.97
1024                    8.08
2048                    8.34
4096                    8.78
8192                    9.57
16384                  10.21
32768                  11.40
65536                  14.09
131072                 34.11
262144                 44.13
524288                 81.16
1048576                77.85
2097152               156.53
4194304               240.01
