
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      92.26
8                      94.83
16                    103.19
32                     94.46
64                    101.26
128                   105.06
256                   116.89
512                   102.23
1024                  108.09
2048                  109.16
4096                  159.54
8192                  177.19
16384                 205.10
32768                 194.05
65536                 177.94
131072                263.63
262144                374.66
524288                625.65
1048576               971.94
