
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      90.38
8                      99.16
16                     88.02
32                     96.47
64                     90.86
128                   101.91
256                    88.61
512                    98.70
1024                   91.75
2048                   97.63
4096                  113.61
8192                  138.39
16384                 163.95
32768                 216.33
65536                 260.94
131072                622.23
262144                378.84
524288                493.72
1048576               837.16
