# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.74
2                       3.61
4                       7.41
8                      14.74
16                     29.54
32                     59.12
64                    109.11
128                   217.76
256                   428.11
512                   834.29
1024                 1545.63
2048                 2596.89
4096                 4424.78
8192                 7262.48
16384                8553.14
32768                9696.13
65536               11384.77
131072              13673.69
262144              13848.18
524288              14000.06
1048576             23695.16
2097152             23979.92
4194304             24176.86
