
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      35.62
8                      34.29
16                     36.20
32                     37.00
64                     36.55
128                    35.88
256                    35.87
512                    35.84
1024                   40.29
2048                   38.85
4096                   63.00
8192                   88.38
16384                 112.17
32768                 153.58
65536                 238.83
131072                463.74
262144                258.50
524288                414.29
1048576               753.20
