
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      38.55
8                      37.93
16                     38.43
32                     37.68
64                     38.66
128                    38.25
256                    39.14
512                    39.55
1024                   40.87
2048                   42.85
4096                   67.69
8192                   93.84
16384                 117.45
32768                 156.50
65536                 239.02
131072                469.94
262144                294.72
524288                429.89
1048576               737.41
