# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       7.48
1                       7.52
2                       7.49
4                       7.50
8                       7.80
16                      7.80
32                      7.81
64                      7.92
128                     7.93
256                     7.96
512                     7.99
1024                    8.09
2048                    8.35
4096                    8.79
8192                    9.59
16384                  10.19
32768                  11.42
65536                  14.04
131072                 34.05
262144                 44.20
524288                 80.64
1048576                77.98
2097152               156.27
4194304               239.65
