
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      33.05
8                      32.95
16                     33.10
32                     33.07
64                     33.20
128                    34.62
256                    34.93
512                    36.81
1024                   36.47
2048                   38.62
4096                   70.15
8192                   92.39
16384                 112.41
32768                 163.87
65536                 254.86
131072                459.44
262144                259.82
524288                425.51
1048576               728.53
