
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      33.51
8                      33.47
16                     32.85
32                     32.82
64                     33.08
128                    35.24
256                    42.24
512                    46.99
1024                   36.85
2048                   39.92
4096                   66.48
8192                   89.52
16384                 118.03
32768                 155.29
65536                 234.92
131072                455.87
262144                266.99
524288                423.38
1048576               770.57
