
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      32.84
8                      33.12
16                     33.21
32                     32.97
64                     33.90
128                    34.93
256                    36.54
512                    37.33
1024                   39.99
2048                   38.04
4096                   64.62
8192                   92.92
16384                 111.58
32768                 155.02
65536                 323.56
131072                493.80
262144                263.65
524288                418.62
1048576               729.28
