
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     109.34
8                      90.51
16                     87.45
32                     97.68
64                     92.08
128                    93.86
256                    98.18
512                    94.07
1024                   92.88
2048                   97.34
4096                  111.07
8192                  141.64
16384                 153.13
32768                 212.59
65536                 256.75
131072                661.90
262144                314.07
524288                508.78
1048576               929.98
