
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      37.79
8                      33.52
16                     33.45
32                     38.33
64                     33.60
128                    34.71
256                    45.09
512                    40.40
1024                   37.73
2048                   38.57
4096                   63.89
8192                   89.29
16384                 111.11
32768                 155.18
65536                 259.60
131072                457.28
262144                265.06
524288                421.71
1048576               740.01
