# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.73
2                       3.61
4                       7.39
8                      14.70
16                     29.48
32                     59.00
64                    107.26
128                   213.30
256                   422.89
512                   829.64
1024                 1534.58
2048                 2579.94
4096                 4272.14
8192                 7132.65
16384                8432.81
32768                9944.12
65536               11191.05
131072              13451.20
262144              13656.44
524288              13786.82
1048576             23707.00
2097152             23973.76
4194304             24211.97
