# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.72
2                       3.61
4                       7.32
8                      14.66
16                     29.45
32                     58.69
64                    107.68
128                   214.38
256                   422.80
512                   822.11
1024                 1527.84
2048                 2569.30
4096                 4280.08
8192                 7070.70
16384                8340.38
32768                9927.83
65536               11246.24
131072              13466.71
262144              13645.07
524288              13818.13
1048576             23677.76
2097152             23976.10
4194304             24184.08
