
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      91.35
8                      92.88
16                     88.99
32                     89.42
64                     96.12
128                    95.92
256                    92.01
512                    94.22
1024                   92.45
2048                  104.39
4096                  111.88
8192                  148.09
16384                 165.74
32768                 238.97
65536                 269.17
131072                624.10
262144                317.47
524288                506.37
1048576               828.50
