# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       7.46
1                       7.49
2                       7.48
4                       7.48
8                       7.78
16                      7.79
32                      7.78
64                      7.89
128                     7.90
256                     7.93
512                     7.95
1024                    8.07
2048                    8.34
4096                    8.76
8192                    9.55
16384                  10.14
32768                  11.46
65536                  14.01
131072                 33.98
262144                 44.18
524288                 81.06
1048576                77.98
2097152               156.66
4194304               240.14
