
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     102.07
8                     119.05
16                     95.34
32                     92.78
64                     92.14
128                    95.30
256                   105.65
512                   103.35
1024                  105.99
2048                  108.46
4096                  150.18
8192                  166.34
16384                 194.42
32768                 182.96
65536                 204.53
131072                240.33
262144                364.03
524288                577.74
1048576              1037.53
