# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.71
2                       3.57
4                       7.31
8                      14.57
16                     29.54
32                     58.73
64                    107.35
128                   213.73
256                   424.38
512                   825.24
1024                 1521.46
2048                 2576.24
4096                 4454.01
8192                 7149.04
16384                8500.69
32768               10027.00
65536               11285.05
131072              13463.72
262144              13701.85
524288              13806.02
1048576             23716.98
2097152             23949.35
4194304             24196.29
