
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      97.86
8                     102.08
16                    106.35
32                     98.11
64                     96.46
128                   102.00
256                   108.73
512                   108.23
1024                  108.87
2048                  117.78
4096                  167.34
8192                  149.05
16384                 217.35
32768                 208.88
65536                 311.65
131072                377.20
262144                497.01
524288                604.04
1048576              1082.23
